User Input,Service Category,hindi_input,hindi_output
I want to draft a legally binding contract for a business partnership.,Document Writer,मैं एक व्यावसायिक साझेदारी के लिए कानूनी रूप से बाध्यकारी अनुबंध का मसौदा तैयार करना चाहता हूं।,दस्तावेज़ लेखक
I need legal advice for a criminal case.,Advocate,मुझे एक आपराधिक मामले के लिए कानूनी सलाह की आवश्यकता है।,वकील
I need to resolve a dispute with a contractor over a home renovation project.,Mediator,मुझे एक घर के नवीकरण परियोजना पर एक ठेकेदार के साथ एक विवाद को हल करने की आवश्यकता है।,मध्यस्थ
I'm buying property and need to notarize the sale documents.,Notary,मैं संपत्ति खरीद रहा हूं और बिक्री दस्तावेजों को नोटरी करने की आवश्यकता है।,नोटरी
I'm involved in a workplace dispute and need an impartial third party to help us find a resolution.,Mediator,मैं एक कार्यस्थल विवाद में शामिल हूं और एक प्रस्ताव खोजने में मदद करने के लिए एक निष्पक्ष तीसरे पक्ष की आवश्यकता है।,मध्यस्थ
I have a dispute with my landlord over a security deposit.,Mediator,मेरे पास एक सुरक्षा जमा पर अपने मकान मालिक के साथ विवाद है।,मध्यस्थ
I need to draft a will and establish an estate plan.,Document Writer,मुझे एक वसीयत का मसौदा तैयार करने और एक संपत्ति योजना स्थापित करने की आवश्यकता है।,दस्तावेज़ लेखक
I'm involved in a business contract dispute that needs to be resolved quickly.,Arbitrator,मैं एक व्यावसायिक अनुबंध विवाद में शामिल हूं जिसे जल्दी से हल करने की आवश्यकता है।,पंच
I need to notarize my power of attorney documents.,Notary,मुझे अपने पावर ऑफ अटॉर्नी दस्तावेजों को नोटरी करने की आवश्यकता है।,नोटरी
I want to mediate a family inheritance dispute to avoid going to court.,Mediator,मैं अदालत में जाने से बचने के लिए एक पारिवारिक विरासत विवाद का मध्यस्थता करना चाहता हूं।,मध्यस्थ
I'm involved in a personal injury claim and need legal representation.,Advocate,मैं एक व्यक्तिगत चोट के दावे में शामिल हूं और कानूनी प्रतिनिधित्व की आवश्यकता है।,वकील
I have a real estate dispute with a neighbor over property boundaries.,Mediator,मेरे पास संपत्ति की सीमाओं पर एक पड़ोसी के साथ एक अचल संपत्ति विवाद है।,मध्यस्थ
I need assistance with a non-disclosure agreement for my startup.,Document Writer,मुझे अपने स्टार्टअप के लिए एक गैर-प्रकटीकरण समझौते के साथ सहायता की आवश्यकता है।,दस्तावेज़ लेखक
I'm involved in a consumer dispute with a company.,Mediator,मैं एक कंपनी के साथ एक उपभोक्ता विवाद में शामिल हूं।,मध्यस्थ
I need to notarize a contract for a major business deal.,Notary,मुझे एक प्रमुख व्यावसायिक सौदे के लिए एक अनुबंध को नोटरी करने की आवश्यकता है।,नोटरी
I want to draft a prenuptial agreement before getting married.,Document Writer,मैं शादी करने से पहले एक प्रीनेप्टियल समझौते का मसौदा तैयार करना चाहता हूं।,दस्तावेज़ लेखक
I have a dispute with a co-founder of my company that needs resolution.,Mediator,मुझे अपनी कंपनी के सह-संस्थापक के साथ विवाद है जिसे रिज़ॉल्यूशन की आवश्यकता है।,मध्यस्थ
I need legal advice for a copyright infringement issue.,Advocate,मुझे कॉपीराइट उल्लंघन के मुद्दे के लिए कानूनी सलाह की आवश्यकता है।,वकील
I need to draft a legal letter to address a breach of contract.,Document Writer,मुझे अनुबंध के उल्लंघन को संबोधित करने के लिए एक कानूनी पत्र का मसौदा तैयार करने की आवश्यकता है।,दस्तावेज़ लेखक
I am involved in a business partnership dispute.,Mediator,मैं एक व्यावसायिक साझेदारी विवाद में शामिल हूं।,मध्यस्थ
I need to notarize my divorce settlement agreement.,Notary,मुझे अपने तलाक के निपटान समझौते को नोटरी करने की आवश्यकता है।,नोटरी
I'm involved in a dispute with my homeowners' association.,Mediator,मैं अपने घर के मालिकों के संघ के साथ विवाद में शामिल हूं।,मध्यस्थ
I need to draft a power of attorney document for my elderly parent.,Document Writer,मुझे अपने बुजुर्ग माता -पिता के लिए पावर ऑफ अटॉर्नी दस्तावेज का मसौदा तैयार करना होगा।,दस्तावेज़ लेखक
I'm involved in a workplace harassment case and need legal representation.,Advocate,मैं एक कार्यस्थल उत्पीड़न मामले में शामिल हूं और कानूनी प्रतिनिधित्व की आवश्यकता है।,वकील
I have a dispute with a tenant over property maintenance.,Mediator,संपत्ति के रखरखाव पर एक किरायेदार के साथ मेरा विवाद है।,मध्यस्थ
I need assistance with trademark registration for my business.,Document Writer,मुझे अपने व्यवसाय के लिए ट्रेडमार्क पंजीकरण के साथ सहायता की आवश्यकता है।,दस्तावेज़ लेखक
I want to mediate a contract dispute with a supplier.,Mediator,मैं एक आपूर्तिकर्ता के साथ एक अनुबंध विवाद का मध्यस्थता करना चाहता हूं।,मध्यस्थ
I need legal advice for a child custody matter.,Advocate,मुझे एक बाल हिरासत मामले के लिए कानूनी सलाह की आवश्यकता है।,वकील
I need to notarize my last will and testament.,Notary,मुझे अपनी अंतिम इच्छा और वसीयतनामा को नोटरी करने की आवश्यकता है।,नोटरी
I have a dispute with a contractor over the quality of work done on my home.,Mediator,मेरे घर पर किए गए काम की गुणवत्ता पर एक ठेकेदार के साथ विवाद है।,मध्यस्थ
I need assistance with the incorporation documents for my new business.,Document Writer,मुझे अपने नए व्यवसाय के लिए निगमन दस्तावेजों के साथ सहायता की आवश्यकता है।,दस्तावेज़ लेखक
I'm involved in a business contract dispute with an international partner.,Arbitrator,मैं एक अंतरराष्ट्रीय भागीदार के साथ एक व्यावसायिक अनुबंध विवाद में शामिल हूं।,पंच
I want to draft a living will and advance healthcare directives.,Document Writer,मैं एक जीवित इच्छा का मसौदा तैयार करना चाहता हूं और हेल्थकेयर निर्देशों को आगे बढ़ाना चाहता हूं।,दस्तावेज़ लेखक
I have a dispute with a neighbor over a shared fence.,Mediator,मेरे पास एक साझा बाड़ पर एक पड़ोसी के साथ विवाद है।,मध्यस्थ
I need legal representation for a DUI case.,Advocate,मुझे DUI मामले के लिए कानूनी प्रतिनिधित्व की आवश्यकता है।,वकील
I need assistance with drafting a non-compete agreement for my employees.,Document Writer,मुझे अपने कर्मचारियों के लिए एक गैर-प्रतिस्पर्धा समझौते का मसौदा तैयार करने में सहायता की आवश्यकता है।,दस्तावेज़ लेखक
I'm involved in a shareholder dispute with my business partners.,Mediator,मैं अपने व्यापार भागीदारों के साथ एक शेयरधारक विवाद में शामिल हूं।,मध्यस्थ
I need to notarize my business contracts for an overseas deal.,Notary,मुझे एक विदेशी सौदे के लिए अपने व्यावसायिक अनुबंधों को नोटरी करने की आवश्यकता है।,नोटरी
I want to mediate a divorce settlement and avoid a court battle.,Mediator,मैं तलाक के निपटान का मध्यस्थता करना चाहता हूं और अदालत की लड़ाई से बचता हूं।,मध्यस्थ
I'm facing a personal injury claim from a car accident and need legal representation.,Advocate,मैं एक कार दुर्घटना से एक व्यक्तिगत चोट के दावे का सामना कर रहा हूं और कानूनी प्रतिनिधित्व की आवश्यकता है।,वकील
I have a dispute with a former employee over a severance agreement.,Mediator,एक विच्छेद समझौते पर एक पूर्व कर्मचारी के साथ मेरा विवाद है।,मध्यस्थ
I need assistance with patent application documentation.,Document Writer,मुझे पेटेंट एप्लिकेशन प्रलेखन के साथ सहायता की आवश्यकता है।,दस्तावेज़ लेखक
I'm involved in an international trade dispute that needs resolution.,Arbitrator,मैं एक अंतरराष्ट्रीय व्यापार विवाद में शामिल हूं जिसे संकल्प की आवश्यकता है।,पंच
I need to notarize my business partnership agreement.,Notary,मुझे अपने बिजनेस पार्टनरशिप समझौते को नोटरी करने की आवश्यकता है।,नोटरी
I want to draft a trust for estate planning purposes.,Document Writer,मैं एस्टेट प्लानिंग उद्देश्यों के लिए एक ट्रस्ट का मसौदा तैयार करना चाहता हूं।,दस्तावेज़ लेखक
I have a dispute with a supplier over product quality and deliveries.,Mediator,मेरे पास उत्पाद की गुणवत्ता और प्रसव पर एक आपूर्तिकर्ता के साथ विवाद है।,मध्यस्थ
I need legal advice for a landlord-tenant dispute.,Advocate,मुझे मकान मालिक-किरायेदार विवाद के लिए कानूनी सलाह की आवश्यकता है।,वकील
I need to draft a confidentiality agreement for my startup.,Document Writer,मुझे अपने स्टार्टअप के लिए एक गोपनीयता समझौते का मसौदा तैयार करने की आवश्यकता है।,दस्तावेज़ लेखक
I'm involved in a dispute with a co-owner of a business.,Mediator,मैं एक व्यवसाय के सह-मालिक के साथ विवाद में शामिल हूं।,मध्यस्थ
I need to notarize my adoption papers.,Notary,मुझे अपने गोद लेने के कागजात को नोटरी करने की आवश्यकता है।,नोटरी
I want to mediate a family conflict over inheritance and assets.,Mediator,मैं विरासत और संपत्ति पर एक पारिवारिक संघर्ष का मध्यस्थता करना चाहता हूं।,मध्यस्थ
I'm facing a criminal defense case and need legal representation.,Advocate,मैं एक आपराधिक रक्षा मामले का सामना कर रहा हूं और कानूनी प्रतिनिधित्व की आवश्यकता है।,वकील
I have a dispute with a construction contractor over project delays.,Mediator,परियोजना में देरी पर एक निर्माण ठेकेदार के साथ मेरा विवाद है।,मध्यस्थ
I need assistance with the sale agreement for a real estate transaction.,Document Writer,मुझे एक रियल एस्टेट लेनदेन के लिए बिक्री समझौते के साथ सहायता की आवश्यकता है।,दस्तावेज़ लेखक
I'm involved in a dispute with a financial institution over investments.,Mediator,मैं निवेश पर एक वित्तीय संस्थान के साथ विवाद में शामिल हूं।,मध्यस्थ
I need legal advice for a child support modification.,Advocate,मुझे एक बाल सहायता संशोधन के लिए कानूनी सलाह की आवश्यकता है।,वकील
I need to notarize my business loan documents.,Notary,मुझे अपने व्यवसाय ऋण दस्तावेजों को नोटरी करने की आवश्यकता है।,नोटरी
I want to draft an employment contract for a new hire.,Document Writer,मैं एक नए किराए के लिए एक रोजगार अनुबंध का मसौदा तैयार करना चाहता हूं।,दस्तावेज़ लेखक
I have a dispute with a business partner over profit distribution.,Mediator,लाभ वितरण पर एक व्यापार भागीदार के साथ मेरा विवाद है।,मध्यस्थ
I need assistance with a divorce settlement agreement.,Mediator,मुझे तलाक के निपटान समझौते के साथ सहायता की आवश्यकता है।,मध्यस्थ
I'm involved in a tax dispute with the IRS and need legal representation.,Advocate,मैं आईआरएस के साथ एक कर विवाद में शामिल हूं और कानूनी प्रतिनिधित्व की आवश्यकता है।,वकील
I need to draft terms and conditions for my e-commerce website.,Document Writer,मुझे अपनी ई-कॉमर्स वेबसाइट के लिए नियमों और शर्तों का मसौदा तैयार करने की आवश्यकता है।,दस्तावेज़ लेखक
I want to mediate a conflict between neighbors over property boundaries.,Mediator,मैं संपत्ति की सीमाओं पर पड़ोसियों के बीच संघर्ष का मध्यस्थता करना चाहता हूं।,मध्यस्थ
I have a dispute with a former employer over wrongful termination.,Mediator,गलत समाप्ति पर एक पूर्व नियोक्ता के साथ मेरा विवाद है।,मध्यस्थ
I need to notarize my business lease agreement.,Notary,मुझे अपने व्यवसाय पट्टे समझौते को नोटरी करने की आवश्यकता है।,नोटरी
I want to draft a partnership agreement for my startup.,Document Writer,मैं अपने स्टार्टअप के लिए एक साझेदारी समझौते का मसौदा तैयार करना चाहता हूं।,दस्तावेज़ लेखक
I need legal advice for a personal injury claim after a slip and fall accident.,Advocate,मुझे एक पर्ची और गिरावट के बाद एक व्यक्तिगत चोट के दावे के लिए कानूनी सलाह की आवश्यकता है।,वकील
I need assistance with a vendor contract for my small business.,Document Writer,मुझे अपने छोटे व्यवसाय के लिए एक विक्रेता अनुबंध के साथ सहायता की आवश्यकता है।,दस्तावेज़ लेखक
I'm involved in a dispute with a contractor over a home renovation project gone wrong.,Mediator,मैं एक घर के नवीकरण परियोजना पर एक ठेकेदार के साथ विवाद में शामिल हूं।,मध्यस्थ
I want to mediate a dispute with a co-worker over workplace harassment.,Mediator,मैं कार्यस्थल उत्पीड़न पर सह-कार्यकर्ता के साथ एक विवाद का मध्यस्थता करना चाहता हूं।,मध्यस्थ
I have a dispute with a former business partner over the division of assets.,Mediator,संपत्ति के विभाजन पर एक पूर्व व्यापार भागीदार के साथ मेरा विवाद है।,मध्यस्थ
I need to notarize my travel consent form for my child.,Notary,मुझे अपने बच्चे के लिए अपनी यात्रा सहमति फॉर्म को नोटरी करने की आवश्यकता है।,नोटरी
I want to draft a shareholder agreement for my startup company.,Document Writer,मैं अपनी स्टार्टअप कंपनी के लिए एक शेयरधारक समझौते का मसौदा तैयार करना चाहता हूं।,दस्तावेज़ लेखक
I'm involved in a dispute with a landlord over security deposit return.,Mediator,मैं सुरक्षा जमा रिटर्न पर एक मकान मालिक के साथ विवाद में शामिल हूं।,मध्यस्थ
I need legal representation for a civil lawsuit.,Advocate,मुझे एक नागरिक मुकदमे के लिए कानूनी प्रतिनिधित्व की आवश्यकता है।,वकील
I need assistance with drafting a non-profit organization's bylaws.,Document Writer,मुझे एक गैर-लाभकारी संगठन के बायलॉज का मसौदा तैयार करने में सहायता की आवश्यकता है।,दस्तावेज़ लेखक
I want to mediate a contract dispute with a client to avoid litigation.,Mediator,मैं मुकदमेबाजी से बचने के लिए एक ग्राहक के साथ एक अनुबंध विवाद का मध्यस्थता करना चाहता हूं।,मध्यस्थ
I have a dispute with a financial institution over a mortgage modification.,Mediator,मेरे पास एक बंधक संशोधन पर एक वित्तीय संस्थान के साथ विवाद है।,मध्यस्थ
I need to notarize my divorce decree.,Notary,मुझे अपने तलाक के डिक्री को नोटरी करने की आवश्यकता है।,नोटरी
I need to draft a rental agreement for my investment property.,Document Writer,मुझे अपनी निवेश संपत्ति के लिए एक किराये के समझौते का मसौदा तैयार करने की आवश्यकता है।,दस्तावेज़ लेखक
I'm involved in a dispute with a co-founder of a tech startup over intellectual property rights.,Mediator,मैं बौद्धिक संपदा अधिकारों पर एक तकनीकी स्टार्टअप के सह-संस्थापक के साथ विवाद में शामिल हूं।,मध्यस्थ
I want to mediate a family conflict regarding the care of an elderly family member.,Mediator,मैं एक बुजुर्ग परिवार के सदस्य की देखभाल के बारे में एक पारिवारिक संघर्ष का मध्यस्थता करना चाहता हूं।,मध्यस्थ
I'm facing a legal issue related to immigration and need legal representation.,Advocate,मैं आव्रजन से संबंधित एक कानूनी मुद्दे का सामना कर रहा हूं और कानूनी प्रतिनिधित्व की आवश्यकता है।,वकील
I need assistance with the formation of a non-governmental organization (NGO).,Document Writer,मुझे एक गैर-सरकारी संगठन (एनजीओ) के गठन के साथ सहायता की आवश्यकता है।,दस्तावेज़ लेखक
I need to mediate a dispute with a supplier over product quality and delivery timelines.,Mediator,मुझे उत्पाद की गुणवत्ता और वितरण समयसीमा पर एक आपूर्तिकर्ता के साथ विवाद की मध्यस्थता करने की आवश्यकता है।,मध्यस्थ
I have a dispute with a neighbor over noise complaints and property boundaries.,Mediator,मेरे पास शोर की शिकायतों और संपत्ति की सीमाओं पर एक पड़ोसी के साथ विवाद है।,मध्यस्थ
I need legal advice for a child custody and visitation matter.,Advocate,मुझे एक बाल हिरासत और मुलाक़ात के मामले के लिए कानूनी सलाह की आवश्यकता है।,वकील
I need to notarize my medical power of attorney document.,Notary,मुझे अपने मेडिकल पावर ऑफ अटॉर्नी दस्तावेज़ को नोटरी करने की आवश्यकता है।,नोटरी
I want to draft a licensing agreement for my software product.,Document Writer,मैं अपने सॉफ्टवेयर उत्पाद के लिए एक लाइसेंसिंग समझौते का मसौदा तैयार करना चाहता हूं।,दस्तावेज़ लेखक
I need help with a corporate merger or acquisition.,Advocate,,
I'm involved in a workplace wrongful termination case.,Advocate,,
I have a dispute with my homeowners' association.,Arbitrator,,
I need assistance with a product licensing agreement.,Document Writer,,
I want to protect my business trade secrets.,Advocate,,
I'm facing a breach of contract dispute with a supplier.,Arbitrator,,
I need help with a franchise agreement negotiation.,Advocate,,
I have a dispute with a landlord over property maintenance.,Arbitrator,,
I want to create a non-compete agreement.,Document Writer,,
I need assistance with a business dispute resolution.,Mediator,,
I'm involved in a securities fraud case.,Advocate,,
I have a dispute over an insurance claim.,Arbitrator,,
I need help with a merger and acquisition contract.,Advocate,,
I want to create a shareholder protection agreement.,Document Writer,,
I'm facing a software copyright infringement issue.,Advocate,,
I need assistance with international arbitration.,Arbitrator,,
I have a dispute with a franchisee over business operations.,Arbitrator,,
I need help with a legal settlement negotiation.,Advocate,,
I want to create a corporate bylaws document.,Document Writer,,
I'm dealing with a data privacy compliance issue.,Advocate,,
I need assistance with a corporate governance dispute.,Mediator,,
I have a dispute with a supplier over product quality.,Arbitrator,,
I'm facing a wrongful death lawsuit.,Advocate,,
I need to draft an employment contract.,Document Writer,,
I want to create an intellectual property license agreement.,Advocate,,
I need help with a technology transfer agreement.,Advocate,,
I have a dispute with a co-founder over equity distribution.,Arbitrator,,
I need assistance with a data breach incident response.,Advocate,,
I'm involved in a construction defects lawsuit.,Advocate,,
I want to create a franchise disclosure document.,Document Writer,,
I'm facing a shareholder derivative action.,Advocate,,
I have a dispute with a financial institution over investments.,Arbitrator,,
I need help with a product recall liability issue.,Advocate,,
I want to draft a partnership dissolution agreement.,Document Writer,,
I'm dealing with a software development project dispute.,Arbitrator,,
I need assistance with employee non-solicitation agreements.,Document Writer,,
I have a dispute with a business competitor over unfair competition.,Advocate,,
I'm facing a legal dispute with a co-owner of a property.,Arbitrator,,
I want to create a product development agreement.,Document Writer,,
I need help with franchise disclosure compliance.,Advocate,,
I'm involved in a securities class-action lawsuit.,Advocate,,
I have a dispute with a tenant over lease violations.,Arbitrator,,
I need assistance with a licensing agreement negotiation.,Advocate,,
I want to draft a joint venture agreement.,Document Writer,,
I'm facing a trademark infringement lawsuit.,Advocate,,
I have a dispute with a supplier over delivery delays.,Arbitrator,,
I want to draft a distribution and supply agreement.,Document Writer,,
I'm involved in a securities fraud investigation by regulatory authorities.,Advocate,,
I need assistance with a copyright infringement case.,Advocate,,
I have a dispute with a co-founder over share buyouts.,Arbitrator,,
I'm facing a legal dispute with a co-founder over equity vesting.,Advocate,,
I want to create an international trade contract.,Document Writer,,
I need help with a partnership dissolution negotiation.,Advocate,,
I have a dispute with a tenant over lease termination.,Arbitrator,,
I'm involved in a securities class-action lawsuit as an investor.,Advocate,,
I need assistance with franchise territory dispute resolution.,Arbitrator,,
I have a dispute with a landlord over property maintenance responsibilities.,Arbitrator,,
I want to draft a software licensing and support agreement.,Document Writer,,
I'm facing a product liability case as a manufacturer.,Advocate,,
I need help with a real estate development contract.,Document Writer,,
I have a dispute with a contractor over construction delays.,Arbitrator,,
I'm involved in a software patent infringement lawsuit.,Advocate,,
I want to create a business collaboration agreement.,Document Writer,,
I need assistance with international commercial arbitration.,Arbitrator,,
I have a dispute with a business partner over breach of fiduciary duty.,Advocate,,
I'm facing a legal dispute with a co-owner over voting rights.,Arbitrator,,
I need help with a real estate purchase and sale agreement.,Document Writer,,
I want to draft a software copyright protection agreement.,Advocate,,
I'm dealing with a contract dispute related to distribution rights.,Arbitrator,,
I need assistance with estate planning for complex assets.,Notary,,
I have a dispute with a business competitor over unfair trade practices.,Advocate,,
I'm facing a shareholder oppression lawsuit.,Advocate,,
I want to create a franchise development agreement.,Document Writer,,
I need help with international import and export contracts.,Advocate,,
I have a dispute with a co-founder over intellectual property licensing.,Advocate,,
I'm facing a legal dispute with a co-owner over business assets.,Arbitrator,,
I need assistance with a real estate lease negotiation.,Advocate,,
I want to draft a technology transfer and licensing agreement.,Advocate,,
I'm involved in a software trade secret misappropriation case.,Advocate,,
I have a dispute with a contractor over project milestones.,Arbitrator,,
I have a dispute with a supplier over delivery delays.,Arbitrator,,
I want to draft a distribution and supply agreement.,Document Writer,,
I'm involved in a securities fraud investigation by regulatory authorities.,Advocate,,
I need assistance with a copyright infringement case.,Advocate,,
I have a dispute with a co-founder over share buyouts.,Arbitrator,,
I'm facing a legal dispute with a co-founder over equity vesting.,Advocate,,
I want to create an international trade contract.,Document Writer,,
I need help with a partnership dissolution negotiation.,Advocate,,
I have a dispute with a tenant over lease termination.,Arbitrator,,
I'm involved in a securities class-action lawsuit as an investor.,Advocate,,
I need assistance with franchise territory dispute resolution.,Arbitrator,,
I have a dispute with a landlord over property maintenance responsibilities.,Arbitrator,,
I want to draft a software licensing and support agreement.,Document Writer,,
I'm facing a product liability case as a manufacturer.,Advocate,,
I need help with a real estate development contract.,Document Writer,,
I have a dispute with a contractor over construction delays.,Arbitrator,,
I'm involved in a software patent infringement lawsuit.,Advocate,,
I want to create a business collaboration agreement.,Document Writer,,
I need assistance with international commercial arbitration.,Arbitrator,,
I have a dispute with a business partner over breach of fiduciary duty.,Advocate,,
I'm facing a legal dispute with a co-owner over voting rights.,Arbitrator,,
I need help with a real estate purchase and sale agreement.,Document Writer,,
I want to draft a software copyright protection agreement.,Advocate,,
I'm dealing with a contract dispute related to distribution rights.,Arbitrator,,
I need assistance with estate planning for complex assets.,Notary,,
I have a dispute with a business competitor over unfair trade practices.,Advocate,,
I'm facing a shareholder oppression lawsuit.,Advocate,,
I want to create a franchise development agreement.,Document Writer,,
I need help with international import and export contracts.,Advocate,,
I have a dispute with a co-founder over intellectual property licensing.,Advocate,,
I'm facing a legal dispute with a co-owner over business assets.,Arbitrator,,
I need assistance with a real estate lease negotiation.,Advocate,,
I want to draft a technology transfer and licensing agreement.,Advocate,,
I'm involved in a software trade secret misappropriation case.,Advocate,,
I have a dispute with a contractor over project milestones.,Arbitrator,,
I have a dispute with a business competitor over pricing strategies.,Advocate,,
I'm facing a product liability case as a manufacturer.,Advocate,,
I want to draft an employee non-disclosure agreement.,Document Writer,,
I need help with international commercial real estate contracts.,Advocate,,
I have a dispute with a business partner over decision-making authority.,Arbitrator,,
I'm involved in a securities class-action lawsuit as an investor.,Advocate,,
I need assistance with franchise territory dispute resolution.,Arbitrator,,
I have a dispute with a landlord over property maintenance responsibilities.,Arbitrator,,
I want to draft a software licensing and support agreement.,Document Writer,,
I'm facing a product liability case as a consumer.,Advocate,,
I need help with a real estate development contract.,Document Writer,,
I have a dispute with a contractor over construction delays.,Arbitrator,,
I'm involved in a software patent infringement lawsuit.,Advocate,,
I want to create a business collaboration agreement.,Document Writer,,
I need assistance with international commercial arbitration.,Arbitrator,,
I have a dispute with a business competitor over unfair trade practices.,Advocate,,
I'm facing a shareholder oppression lawsuit.,Advocate,,
I want to create a franchise development agreement.,Document Writer,,
I need help with international import and export contracts.,Advocate,,
I have a dispute with a co-founder over intellectual property licensing.,Advocate,,
I'm facing a legal dispute with a co-owner over business assets.,Arbitrator,,
I need assistance with a real estate lease negotiation.,Advocate,,
I want to draft a technology transfer and licensing agreement.,Advocate,,
I'm involved in a software trade secret misappropriation case.,Advocate,,
I have a dispute with a contractor over project milestones.,Arbitrator,,
I'm facing a software licensing violation case.,Advocate,,
I need help with a partnership agreement negotiation.,Advocate,,
I want to create a software development contract for a project.,Document Writer,,
I have a dispute with a business competitor over false advertising.,Advocate,,
I'm involved in a securities fraud investigation by regulatory authorities.,Advocate,,
I need assistance with a copyright infringement case.,Advocate,,
I'm facing a product liability case as a manufacturer.,Advocate,,
I need help with a real estate development contract.,Document Writer,,
I have a dispute with a contractor over construction delays.,Arbitrator,,
I'm involved in a software patent infringement lawsuit.,Advocate,,
I want to create a business collaboration agreement.,Document Writer,,
I need assistance with international commercial arbitration.,Arbitrator,,
I have a dispute with a business competitor over unfair trade practices.,Advocate,,
I'm facing a shareholder oppression lawsuit.,Advocate,,
I want to create a franchise development agreement.,Document Writer,,
I need help with international import and export contracts.,Advocate,,
I have a dispute with a co-founder over intellectual property licensing.,Advocate,,
I'm facing a legal dispute with a co-owner over business assets.,Arbitrator,,
I need assistance with a real estate lease negotiation.,Advocate,,
I want to draft a technology transfer and licensing agreement.,Advocate,,
I'm involved in a software trade secret misappropriation case.,Advocate,,
I have a dispute with a contractor over project milestones.,Arbitrator,,
I'm facing a software licensing violation case.,Advocate,,
I need help with a partnership agreement negotiation.,Advocate,,
I want to create a software development contract for a project.,Document Writer,,
I have a dispute with a business competitor over false advertising.,Advocate,,
I'm involved in a securities fraud investigation by regulatory authorities.,Advocate,,
I need assistance with a copyright infringement case.,Advocate,,
I have a dispute with a co-founder over share buyouts.,Arbitrator,,
I'm facing a legal dispute with a co-owner over equity vesting.,Advocate,,
I want to create an international trade contract.,Document Writer,,
I need help with a partnership dissolution negotiation.,Advocate,,
I have a dispute with a tenant over lease termination.,Arbitrator,,
I'm involved in a securities class-action lawsuit as an investor.,Advocate,,
